state_name,2020_population,pop_density_misq,density rank
Alabama,5024279,99.2,29
Alaska,"733,391",1.3,52
Arizona,"7,151,502",62.9,35
Arkansas,"3,011,524",57.9,36
California,"39,538,223",253.7,13
Colorado,"5,773,714",55.7,39
Connecticut,"3,605,944",744.7,6
Delaware,"989,948",508.0,8
District of Columbia,"689,545","11,280.0",1
Florida,"21,538,187",401.4,10
Georgia,"10,711,908",185.6,19
Hawaii,"1,455,271",226.6,15
Idaho,"1,839,106",22.3,46
Illinois,"12,812,508",230.8,14
Indiana,"6,785,528",189.4,18
Iowa,"3,190,369",57.1,38
Kansas,"2,937,880",35.9,43
Kentucky,"4,505,836",114.1,25
Louisiana,"4,657,757",107.8,28
Maine,"1,362,359",44.2,40
Maryland,"6,177,224",636.1,7
Massachusetts,"7,029,917",901.2,5
Michigan,"10,077,331",178.0,20
Minnesota,"5,706,494",71.7,32
Mississippi,"2,961,279",63.1,34
Missouri,"6,154,913",89.5,30
Montana,"1,084,225",7.4,50
Nebraska,"1,961,504",25.5,45
Nevada,"3,104,614",28.3,44
New Hampshire,"1,377,529",153.8,23
New Jersey,"9,288,994","1,263.0",2
New Mexico,"2,117,522",17.5,47
New York,"20,201,249",428.7,9
North Carolina,"10,439,388",214.7,17
North Dakota,"779,094",11.3,49
Ohio,"11,799,448",288.8,12
Oklahoma,"3,959,353",57.7,37
Oregon,"4,237,256",44.1,41
Pennsylvania,"13,002,700",290.6,11
Rhode Island,"1,097,379","1,061.4",3
South Carolina,"5,118,425",170.2,21
South Dakota,"886,667",11.7,48
Tennessee,"6,910,840",167.6,22
Texas,"29,145,505",111.6,26
Utah,"3,271,616",39.7,42
Vermont,"643,077",69.8,33
Virginia,"8,631,393",218.6,16
Washington,"7,705,281",115.9,24
West Virginia,"1,793,716",74.6,31
Wisconsin,"5,893,718",108.8,27
Wyoming,"576,851",5.9,51
United States1,"331,449,281",93.8,X
Puerto Rico,"3,285,874",959.6,4
