State,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Alabama,All industry total,Millions of current dollars,104811.9,110212,115680.1,119851.7,122915.5,127505,134152.6,147715.2,158846.8,166469,172975.2,174526.3,170930.9,177249.2,183916.6,189245.5,194786.9,197406.9,202372.4,207368.4,215085.9,224046.9,231171.8
Alabama,   Oil and gas extraction,Millions of current dollars,282.2,217.4,232.4,401.5,514.4,440.8,751.2,960.1,1524.8,1664,1933.9,2134.5,1002.6,832.8,829.9,692.3,788,793.2,446.6,409.1,481.5,416.7,292.1
Alaska,All industry total,Millions of current dollars,25810.8,24227.5,24744.3,26806.6,28494.1,29756.8,32037.9,35302.4,40356.6,45094.1,49583.7,55122.5,49957.8,53331.6,56896.3,58283.6,57247.7,56484.9,51490.9,50727.7,53089.3,54711.7,54547.1
Alaska,   Oil and gas extraction,Millions of current dollars,4659.4,2186.1,2359.4,3462,2870.6,3652.4,4299.5,6120.6,9059.5,11295,13300.7,17286.7,11258.4,11920.8,14122.8,14463.8,12687.7,10510,4864.9,4179.1,5458.1,6086.9,4769.2
Arizona,All industry total,Millions of current dollars,132281,143302.6,155755.8,165110.7,171909.6,180522.3,193634.9,206541.1,227915.9,245957,261392,262926,246424.3,251153,260915.7,271440,278591.6,287666.6,299393.3,313081.4,330416.1,349907.5,369988.2
Arizona,   Oil and gas extraction,Millions of current dollars,2.5,2.9,2.5,3.6,0.5,0.6,0.6,0.4,0.6,0.8,1,2,3.1,4.6,11.9,37.7,38,31.2,23.2,22.6,20.6,19.2,13.3
Arkansas,All industry total,Millions of current dollars,59846.3,62396.7,66811.3,68678.5,70616.7,74113.9,78695.1,85199.6,90887.7,95875.1,98381.6,99706.8,97508.1,101486.5,105768.1,108492.1,113227.3,116139.4,117786.8,119152.4,122350.2,127306.5,130839.9
Arkansas,   Oil and gas extraction,Millions of current dollars,108.7,81,71.8,90.7,101.5,101.7,140.3,219.8,363.3,470.5,851.5,1717,1285,1752.5,2209.1,1823.7,1754.9,1722.2,724.5,443.5,377.8,289.3,207.9
California,All industry total,Millions of current dollars,1071117,1147520.4,1241899.7,1356975.4,1375761.3,1418429.6,1497918.7,1588177.4,1698560.4,1812210,1898902,1944695.3,1890165.9,1954092.7,2023500,2113096.4,2220389.9,2335286.5,2473555.9,2569634,2730973.9,2895101,3052645.2
California, Private industries,Millions of current dollars,936197.6,1004724.8,1090694.2,1192452.6,1198531.5,1230883.4,1300907,1382620.4,1483785.7,1585980,1656453.1,1690132.2,1635862.4,1696461.6,1760303.6,1848525.7,1945187.1,2045816.2,2167473.4,2252139.9,2408573,2559674.3,2705816.5
