GeoName,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Alabama,All industry total,Millions of current dollars,104811.9,110212,115680.1,119851.7,122915.5,127505,134152.6,147715.2,158846.8,166469,172975.2,174526.3,170930.9,177249.2,183916.6,189245.5,194786.9,197406.9,202372.4,207368.4,215085.9,224046.9,231171.8,226896.5,247092.5
Alabama,  Manufacturing,Millions of current dollars,19602.7,20567,21461.7,21694.1,21189.7,21250.8,21744.9,26409.6,28004.5,29519.4,29066.1,29031.5,25239.9,27486.4,31400.2,32058.7,33737,33352.5,33529.3,34464.3,36146.6,38064.9,37528.1,35733.7,40062.4
Alaska,All industry total,Millions of current dollars,25810.8,24227.5,24744.3,26806.6,28494.1,29756.8,32037.9,35302.4,40356.6,45094.1,49583.7,55122.5,49957.8,53331.6,56896.3,58283.6,57247.7,56484.9,51490.9,50727.7,53089.3,54711.7,54547.1,49820,54970.1
Alaska,  Manufacturing,Millions of current dollars,870,1118.9,884.3,829.9,948.1,919.2,1101.9,1221.6,1264.6,1398.6,1548.9,1479.7,1452.8,1107.7,969.9,992,1325,1597.4,1833.6,1570.4,1821.9,1420.2,1488.9,1338.8,(D)
Arizona,All industry total,Millions of current dollars,132281,143302.6,155755.8,165110.7,171909.6,180522.3,193634.9,206541.1,227915.9,245957,261392,262926,246424.3,251153,260915.7,271440,278591.6,287666.6,299393.3,313081.4,330416.1,349907.5,369988.2,373719,411191.8
Arizona, Private industries,Millions of current dollars,114429.6,124318.1,135756.6,144042.8,149169.9,156331.4,167732.7,179040.8,198285.5,214226.5,227670.6,227261.8,211469.8,214688.4,223987,233709.9,240043.3,249015.1,259826.4,272463.6,288024.8,306447.4,325361.5,327118.2,363866.2
Arizona,"  Agriculture, forestry, fishing and hunting",Millions of current dollars,1499.4,1622.7,1548.4,1583.8,1520.2,1603,1615,2194.1,2010,1828.1,2139.7,1606.7,1315.2,1640.3,2369.6,1876.6,2330.4,2105.1,2307.1,2551.6,2539.4,2562.7,2545.5,2770.2,2931.8
Arizona,   Farms,Millions of current dollars,1167.9,1255.2,1170.3,1214.5,1123.8,1201.5,1206,1778.5,1584.5,1288.3,1582.5,1113.5,833.3,1142.7,1852.3,1363.5,1827.6,1558,1719,1943.2,1921.5,1923.5,1901.7,2123.7,(NA)
Arizona,"   Forestry, fishing, and related activities",Millions of current dollars,331.5,367.5,378.1,369.4,396.4,401.5,409.1,415.6,425.5,539.8,557.2,493.1,481.9,497.7,517.2,513.1,502.8,547.1,588.2,608.4,617.9,639.2,643.8,646.6,(NA)
Arizona,"  Mining, quarrying, and oil and gas extraction",Millions of current dollars,1610.7,1452.4,1477.7,1514.1,1286.3,1239.5,1394.9,1926.8,3122.6,4371.3,4933.5,5365.1,4793.7,6106.6,7216,6465.7,5664.7,5537.6,3881.8,3386.5,4762.2,4737.9,4639.1,4470.7,7961.5
Arizona,   Oil and gas extraction,Millions of current dollars,2.5,2.9,2.5,3.6,0.5,0.6,0.6,0.4,0.6,0.8,1,2,3.1,4.6,11.9,37.7,38,31.2,23.2,22.6,20.6,19.2,13.3,12.1,(NA)
Arizona,   Mining (except oil and gas),Millions of current dollars,1574.1,1422.7,1450.8,1478.8,1267.9,1218.5,1377.4,1911,3103.3,4337,4898.1,5289.4,4706.7,6006,7100.9,6302.8,5528.7,5402.1,3780.5,3316.9,4681.8,4584.6,4526.5,4383.3,(NA)
Arizona,   Support activities for mining,Millions of current dollars,34.1,26.8,24.4,31.7,17.9,20.4,16.9,15.4,18.7,33.5,34.3,73.7,83.9,95.9,103.2,125.2,98,104.3,78.1,47,59.8,134.1,99.2,75.3,(NA)
Arizona,  Utilities,Millions of current dollars,3129.4,2986,3381.6,3442.1,3505.6,3382.2,3520.1,3830.3,3930,4657.7,5090.9,5271.9,5735.9,6042.5,6320.3,6220.1,6341.6,6398.5,6385.7,6717.6,6837.4,6768,7092.2,7401.9,8217.4
Arizona,  Construction,Millions of current dollars,6768.8,8055.8,9035.3,10179.6,10924.2,11265.4,12181.4,14275.3,18282.2,21606.9,22124.8,17768.6,11856.9,9822,9647.4,9329.6,10404.4,10892.3,11633.3,12951.7,14787.4,16720.1,18835,19995.1,20809.4
Arizona,  Manufacturing,Millions of current dollars,21453.7,22215.9,23932.4,22983.3,22227.9,22335.1,25649.5,21535,20584.5,22597.6,24579.3,23534.6,20723.2,22210.7,23321.6,24505.2,22226.4,24070,25819.2,26489.1,28652.4,31427.6,33304.5,32067.7,34995.1
Arizona,   Durable goods manufacturing,Millions of current dollars,18727.5,19435.8,20750.6,19938.9,19308.3,19572.2,23040.1,18915.2,17703.5,19264.5,20424.8,19522.1,16226.6,17938.6,18980.6,20395.1,18721.4,20167.7,21367.4,21923.6,24067.4,26632.3,27694.2,26377.7,27957.7
Arizona,    Wood product manufacturing,Millions of current dollars,267.5,327.5,325.1,292.9,329.9,277.9,329.8,386.3,491.3,443,361.3,296.4,214.7,168.5,167.8,172.5,204.7,261.8,253,292.7,297.1,295.8,368.6,400.5,(NA)
Arizona,    Nonmetallic mineral product manufacturing,Millions of current dollars,554.7,611.1,770.6,747.2,636.9,630.5,672.8,747.7,959.4,1225.8,1484.2,908,582.7,575.6,523.3,602.1,654.3,774.4,726.4,837.5,961.4,1024.8,1070.6,1200.9,(NA)
Arizona,    Primary metal manufacturing,Millions of current dollars,361.2,364.2,353.3,419.9,438.1,372.9,448.1,543.6,360.2,696.6,1095.9,630.6,561.2,482.8,974.2,829.4,853.9,948.6,915.3,671.1,768,890.3,956.5,880,(NA)
Arizona,    Fabricated metal product manufacturing,Millions of current dollars,1307.7,1461.6,1329.7,1477.8,1285,1369.7,1227.7,1489.5,1452.9,1391,1467.3,1528.1,1270.7,1193.2,1212.2,1392.1,1430.5,1507.8,1740.3,1787,1814.8,1908.2,2192.3,2209.2,(NA)
Arizona,    Machinery manufacturing,Millions of current dollars,645.5,615,614.8,691.6,530.9,547.1,607,576.1,607.8,639.3,723,628.8,639.1,793.2,755.2,722.3,908,814.8,816.3,749,897.3,1076.7,1084.6,1153.1,(NA)
Arizona,    Computer and electronic product manufacturing,Millions of current dollars,11393.9,11531.2,11020.5,11483.8,8688.4,11795.9,14484.3,10671.6,8162,9069.3,8128,8523.9,7149.3,7988,8473.4,9035.9,7649.9,8367.4,9193.3,8265.5,9436.3,10777.4,10770.2,10674.4,(NA)
Arizona,"    Electrical equipment, appliance, and component manufacturing",Millions of current dollars,193,175.5,189.7,207.8,170.1,193.7,221.2,148.6,173.8,225.9,317.5,324.3,341.1,349.1,284.3,279.7,260.8,275.8,388.4,363.2,578.5,706.6,648.4,612.2,(NA)
Arizona,"    Motor vehicles, bodies and trailers, and parts manufacturing",Millions of current dollars,435.7,463.1,427.4,423,398.7,390.7,378.6,384.4,351.2,339.9,364.5,336.2,162.6,224.8,308.9,431.5,421.8,455.3,514,686.8,718.6,697,756,856.1,(NA)
Arizona,    Other transportation equipment manufacturing,Millions of current dollars,2683.3,2929.5,4689.9,3132.8,5758,2919.7,3622.7,2926.6,3984.2,3850,5079.6,5092.9,4004.9,4694.1,4710.9,5343.4,4587.9,5088.5,5048.2,6509.1,6551.1,7062,7544.5,5796.6,(NA)
Arizona,    Furniture and related product manufacturing,Millions of current dollars,321.7,404,408.3,420.7,433.2,354.4,344.2,393,466.6,586.3,461.3,344.7,338.1,281.8,261.2,273,325.2,346.6,393.8,400.7,404,449.5,469,490.9,(NA)
Arizona,    Miscellaneous manufacturing,Millions of current dollars,563.4,553,621.1,641.4,639.3,719.7,703.7,647.9,694,797.3,942.1,908.2,962.2,1187.5,1309.2,1313,1424.3,1326.6,1378.3,1361.1,1640.3,1744.1,1833.5,2103.8,(NA)
Arizona,   Nondurable goods manufacturing,Millions of current dollars,2726.2,2780.1,3181.8,3044.4,2919.6,2762.9,2609.4,2619.8,2881,3333.1,4154.5,4012.5,4496.6,4272.1,4341,4110.2,3504.9,3902.3,4451.8,4565.5,4585,4795.3,5610.4,5690.1,7037.4
Arizona,    Food and beverage and tobacco product manufacturing,Millions of current dollars,685.8,683.7,923.4,998.7,976.8,1094.5,1132.8,965.9,945.6,1185.9,1427.5,1552.7,1635.9,1525.3,1525.7,1540.2,1541.3,1778.8,1876.4,1962.3,2007.3,1958.4,2193.9,2340.8,(NA)
