state_name,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Alabama,0.0026924423658000666,0.001972561971473161,0.002008988581441406,0.003349973342055223,0.004184988874470673,0.0034571193286537785,0.005599593298974452,0.006499669634539979,0.009599186134061247,0.009995855084129777,0.011180215429726342,0.012230248392362641,0.005865528116917421,0.004698469725110183,0.0045123713683267305,0.003658211159578431,0.004045446588040571,0.004018096631880649,0.002206822669494457,0.0019728174591692855,0.0022386404687615505,0.0018598784450934156,0.0012635624241365082
Alaska,0.1805213321555318,0.09023217418223094,0.09535125261171261,0.12914729954563428,0.10074366272316024,0.12274169265512422,0.13420043136410315,0.17337631435823062,0.2244862054781622,0.2504762263799477,0.26824742808624613,0.31360515216109575,0.22535820232276038,0.22352226447359538,0.24822000727639582,0.24816243334317029,0.22162811781084657,0.18606742686983602,0.09448077233064482,0.08238299784930128,0.10280979406396393,0.11125408276474684,0.08743269578034396
Arizona,1.8899161633189953e-5,2.023689730681788e-5,1.6050766648818214e-5,2.180355361584682e-5,2.9085054005128275e-6,3.323689095474631e-6,3.0986149707516568e-6,1.9366605484332176e-6,2.6325499888336005e-6,3.2526010644136986e-6,3.8256717879659664e-6,7.6067030267071346e-6,1.2579928197016285e-5,1.8315528781260823e-5,4.560860078561773e-5,1.388888888888889e-4,1.364003796237934e-4,1.0845888956173571e-4,7.749004403238149e-5,7.218569994895896e-5,6.234563025227887e-5,5.4871644648942934e-5,3.594709236672953e-5
Arkansas,0.0018163194717133724,0.0012981455750063705,0.001074668506674769,0.00132064619932002,0.0014373370604970214,0.00137221223009449,0.0017828301889190052,0.0025798243184240303,0.003997240550701581,0.004907426432932013,0.008655073712970718,0.017220490478081735,0.013178392359198876,0.017268306622063034,0.0208862596567396,0.016809518849759567,0.01549891236477422,0.014828731679343963,0.0061509439088250975,0.003722123935397021,0.003087857641426005,0.0022724684128461628,0.0015889648341217016
California,0.00453078421871747,0.0022658420713043536,0.0023775672061117333,0.0036945400778820307,0.0030581613249333296,0.002851745338647755,0.0034400398366079546,0.004428346606619639,0.006147441091879924,0.008053702385485126,0.009578008765065286,0.01149599117147041,0.007888831345439044,0.007965282302113918,0.008644823325920434,0.008534347983366969,0.007569436340887697,0.006200052969946085,0.002893607538847212,0.0023188516341237702,0.0025979742977404506,0.0026677480336610017,0.001988275610935722
Colorado,0.007393057786523904,0.005169959422603606,0.004783733595988845,0.007594000328773453,0.00815765539449736,0.007687126024239681,0.01503672374717338,0.02016337589975275,0.03069157732205774,0.03222439862675894,0.027822891447454482,0.04138613838438114,0.026610123007932644,0.029428548642238758,0.03236253817994506,0.027797174441005826,0.032921145818535946,0.03997801918055867,0.024345451546530616,0.02288794244035601,0.029194197388865115,0.03170872365481446,0.02497488641520787
Connecticut,6.506096212150786e-6,4.124405827785434e-6,2.6266108511860792e-6,3.0190629673886857e-6,0,0,0,2.5594443753394465e-6,2.9237685817675738e-6,9.100489424321241e-7,4.263652321324188e-7,4.18520713427149e-7,NA,0,0,0,0,0,0,0,0,0,0
Delaware,9.594224276985254e-5,7.815447636500835e-5,7.93157037657609e-5,8.515280325329737e-5,8.67752369506314e-6,1.5381809472118272e-5,1.6776377183288214e-5,2.3367352303728845e-5,1.9174168560115813e-5,1.4499478018791323e-5,0,0,0,1.891220438935071e-5,0,0,0,0,0,0,0,0,0
District of Columbia,1.6760755452959418e-4,2.0797113214741139e-4,2.2271639192644578e-4,2.946332552555207e-4,2.139269500587535e-4,2.4027631776543025e-4,1.5279128035036529e-4,6.363855298408661e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Far West,0.006391632849657803,0.003013893089532356,0.0030999329309188465,0.0045680399787808145,0.0037604927771576714,0.003959920665817975,0.004610449425562607,0.006026459290835304,0.008301029044323624,0.010309144962540066,0.011903262268499961,0.014600462106358106,0.009924278130920037,0.010076663445480645,0.011185330618389801,0.011026787371124142,0.009569207424570186,0.007730625035180535,0.0035187794060991375,0.002853913809934989,0.0033273876871210157,0.003443977795849724,0.002566956234603233
